Timestamp,SensorValue,Label
1764125061.8751643,324,0
1764125062.8967357,325,0
1764125063.9181504,324,0
1764125064.9396582,324,0
1764125065.961092,325,0
1764125066.982581,325,0
1764125068.004266,324,0
1764125069.0107887,90,1
1764125070.0173645,73,1
1764125071.03981,325,1
1764125072.0612752,324,0
1764125073.0828974,324,0
1764125074.1043298,324,0
1764125075.1256943,325,0
1764125076.1473787,325,0
1764125077.1688864,325,0
1764125078.1903677,324,0
1764125079.2117949,324,0
1764125080.2334187,324,0
1764125081.2549107,324,0
1764125082.2762837,323,0
1764125083.2978091,324,1
1764125084.3013031,38,1
1764125085.3238018,324,1
1764125086.3452675,325,0
